trial,luminance,repetition,complementary,transient_counts,cdt,mdt,dtstd,key_press_list
1,60,2,0,0,0.0,0.0,0.0,[]
2,25,5,0,8,13.917418003082275,3.479354500770569,0.45959286793493026,"[3.4452269077301025, 3.8855748176574707, 3.8453481197357178, 2.7412681579589844]"
3,15,5,0,8,14.205147743225098,3.5512869358062744,1.4893559517369923,"[2.2294278144836426, 5.773324012756348, 4.045338869094849, 2.157057046890259]"
4,25,4,0,6,15.472217082977295,5.157405694325765,0.3125384259912329,"[5.053540945053101, 4.837276935577393, 5.581399202346802]"
5,35,3,1,0,0.0,0.0,0.0,[]
6,15,5,1,4,2.1219868659973145,1.0609934329986572,0.33621740341186523,"[1.3972108364105225, 0.724776029586792]"
7,60,3,0,0,0.0,0.0,0.0,[]
8,35,3,0,6,7.799988746643066,2.599996248881022,1.6378997585011,"[4.413410902023315, 2.9413750171661377, 0.4452028274536133]"
9,25,3,1,0,0.0,0.0,0.0,[]
10,35,4,1,2,0.47719502449035645,0.47719502449035645,0.0,[0.47719502449035645]
11,5,4,1,0,0.0,0.0,0.0,[]
12,5,3,0,8,11.349244117736816,2.837311029434204,1.4369455974850316,"[2.77333402633667, 2.9894919395446777, 0.7648959159851074, 4.821522235870361]"
13,200,1,1,0,0.0,0.0,0.0,[]
14,35,2,1,4,1.9158036708831787,0.9579018354415894,0.19291293621063232,"[0.764988899230957, 1.1508147716522217]"
15,35,4,0,8,9.709166049957275,2.427291512489319,0.6284961971636326,"[2.5574190616607666, 2.909627914428711, 1.3651189804077148, 2.877000093460083]"
16,60,1,1,0,0.0,0.0,0.0,[]
17,5,1,1,4,1.9953579902648926,0.9976789951324463,0.05570793151855469,"[1.053386926651001, 0.9419710636138916]"
18,15,3,0,8,20.670273065567017,5.167568266391754,1.935732108023996,"[6.989665985107422, 7.181649923324585, 2.893435001373291, 3.6055221557617188]"
19,25,4,1,8,5.173654556274414,1.2934136390686035,0.4697266870260467,"[1.3414757251739502, 1.1653437614440918, 0.677422046661377, 1.9894130229949951]"
20,25,5,1,4,1.9464519023895264,0.9732259511947632,0.3759700059890747,"[0.5972559452056885, 1.349195957183838]"
21,35,1,0,6,9.008227348327637,3.0027424494425454,0.33782367242249056,"[2.813251256942749, 3.477299928665161, 2.7176761627197266]"
22,35,2,0,10,17.380335092544556,3.4760670185089113,1.4936137827422107,"[6.142495155334473, 2.6534371376037598, 3.1975197792053223, 3.709625005722046, 1.677258014678955]"
23,15,3,1,8,9.277918100357056,2.319479525089264,1.34603653966201,"[1.0854310989379883, 2.4459121227264404, 4.469374895095825, 1.2771999835968018]"
24,60,2,1,0,0.0,0.0,0.0,[]
25,15,4,0,8,6.8299500942230225,1.7074875235557556,0.48562706793069255,"[1.853607177734375, 2.341722011566162, 1.6453759670257568, 0.9892449378967285]"
26,60,5,0,2,0.25322866439819336,0.25322866439819336,0.0,[0.25322866439819336]
27,35,5,0,8,14.958093643188477,3.739523410797119,2.881842822944685,"[8.053246974945068, 4.19795036315918, 0.12564611434936523, 2.5812501907348633]"
28,60,5,1,6,1.5759696960449219,0.525323232014974,0.30550846278956734,"[0.09326910972595215, 0.7415907382965088, 0.7411098480224609]"
29,15,1,1,6,6.055870771408081,2.0186235904693604,0.5440532980884782,"[1.7251958847045898, 1.5493698120117188, 2.7813050746917725]"
30,60,3,1,0,0.0,0.0,0.0,[]
31,25,1,1,6,4.576592922210693,1.5255309740702312,0.7976129539497593,"[0.5251951217651367, 1.5742835998535156, 2.477114200592041]"
32,15,4,1,6,3.951723337173462,1.317241112391154,0.21307641034601876,"[1.069066047668457, 1.2933111190795898, 1.589346170425415]"
33,15,1,0,6,19.704280614852905,6.568093538284302,2.0800976006228344,"[9.50950288772583, 5.133337736129761, 5.0614399909973145]"
34,5,5,0,8,4.349512100219727,1.0873780250549316,0.17323025681892357,"[1.1572539806365967, 0.7893459796905518, 1.1891772747039795, 1.2137348651885986]"
35,15,2,0,10,14.347217559814453,2.8694435119628907,1.090914211866916,"[4.75738000869751, 2.813555955886841, 3.173456907272339, 1.8693687915802002, 1.7334558963775635]"
36,15,2,1,4,1.4027271270751953,0.7013635635375977,0.29601073265075684,"[0.4053528308868408, 0.9973742961883545]"
37,5,4,0,10,8.019775152206421,1.6039550304412842,0.26628917968938465,"[1.8387031555175781, 1.805337905883789, 1.397125005722046, 1.181230068206787, 1.7973790168762207]"
38,200,1,0,0,0.0,0.0,0.0,[]
39,5,2,1,2,0.8769307136535645,0.8769307136535645,0.0,[0.8769307136535645]
40,60,4,0,4,1.9001610279083252,0.9500805139541626,0.5444823503494263,"[1.4945628643035889, 0.40559816360473633]"
41,25,2,0,6,24.42445421218872,8.14148473739624,2.730421557545915,"[4.309514045715332, 10.469542026519775, 9.645398139953613]"
42,25,3,0,8,15.039555549621582,3.7598888874053955,0.7345446047795053,"[3.6782519817352295, 2.958211660385132, 3.453632116317749, 4.949459791183472]"
43,5,2,0,6,4.6958229541778564,1.5652743180592854,0.5211921708735681,"[2.029449939727783, 1.8290369510650635, 0.8373360633850098]"
44,25,1,0,4,22.763193130493164,11.381596565246582,7.400170564651489,"[18.78176712989807, 3.9814260005950928]"
45,5,3,1,0,0.0,0.0,0.0,[]
46,5,5,1,2,1.1013388633728027,1.1013388633728027,0.0,[1.1013388633728027]
47,60,4,1,0,0.0,0.0,0.0,[]
48,5,1,0,8,9.01324462890625,2.2533111572265625,0.291772708906096,"[2.3573367595672607, 2.0612869262695312, 1.917206048965454, 2.677414894104004]"
49,25,2,1,0,0.0,0.0,0.0,[]
50,35,5,1,0,0.0,0.0,0.0,[]
51,60,1,0,0,0.0,0.0,0.0,[]
52,35,1,1,4,1.5144050121307373,0.7572025060653687,0.16813957691192627,"[0.5890629291534424, 0.9253420829772949]"
