trial,luminance,repetition,complementary,transient_counts,cdt,mdt,dtstd,key_press_list
1,5,3,1,10,2.7398269176483154,0.5479653835296631,0.22189113525967016,"[0.6133420467376709, 0.14966130256652832, 0.8055171966552734, 0.5017352104187012, 0.6695711612701416]"
2,15,4,0,4,24.643771171569824,12.321885585784912,4.25200343132019,"[8.069882154464722, 16.573889017105103]"
3,60,5,0,18,11.59511399269104,1.2883459991878934,1.030149361955581,"[0.901508092880249, 1.3817729949951172, 0.16551995277404785, 2.2937710285186768, 0.22986125946044922, 1.1174018383026123, 0.8055169582366943, 1.0299508571624756, 3.6698110103607178]"
4,15,2,0,12,19.17841935157776,3.19640322526296,1.7989444975650346,"[6.069831371307373, 1.8699140548706055, 1.0454440116882324, 5.157762050628662, 2.573889970779419, 2.461577892303467]"
5,200,1,0,0,0.0,0.0,0.0,[]
6,5,5,1,4,1.4506804943084717,0.7253402471542358,0.14394032955169678,"[0.5813999176025391, 0.8692805767059326]"
7,25,5,0,14,18.95191216468811,2.7074160235268727,1.8342827700939162,"[6.133882761001587, 3.309865951538086, 0.2857389450073242, 3.485848903656006, 3.341752767562866, 1.2852869033813477, 1.1095359325408936]"
8,60,3,0,12,14.090845108032227,2.3484741846720376,0.8062998831099981,"[1.6938080787658691, 3.4617669582366943, 3.3898439407348633, 2.0856990814208984, 2.126000165939331, 1.3337268829345703]"
9,5,2,0,16,10.701185941696167,1.3376482427120209,1.3100969958111883,"[4.50166392326355, 1.229768991470337, 0.25354909896850586, 1.453812837600708, 0.3173089027404785, 0.17374706268310547, 1.6296601295471191, 1.1416749954223633]"
10,60,5,1,10,4.85216498374939,0.9704329967498779,0.19413299375682855,"[0.9656510353088379, 1.1254940032958984, 0.6055808067321777, 1.141880989074707, 1.0135581493377686]"
11,25,1,0,14,15.736168622970581,2.2480240889957974,0.9790993323176702,"[4.045845031738281, 3.09329891204834, 1.989837884902954, 1.6937947273254395, 0.9817779064178467, 2.5258500576019287, 1.405764102935791]"
12,60,4,1,16,9.536697387695312,1.192087173461914,0.7587762513477206,"[1.4316160678863525, 0.7267229557037354, 3.029693841934204, 0.5097241401672363, 1.0136139392852783, 1.3656232357025146, 0.7417840957641602, 0.717919111251831]"
13,35,2,0,18,18.475027084350586,2.052780787150065,1.0620637379287041,"[1.9815948009490967, 1.2297210693359375, 2.005678176879883, 2.533712863922119, 0.5976128578186035, 3.397843837738037, 2.4778261184692383, 0.5258543491363525, 3.7251830101013184]"
14,35,2,1,8,4.7828967571258545,1.1957241892814636,0.600958960693865,"[0.5890898704528809, 0.8297951221466064, 2.1666488647460938, 1.1973628997802734]"
15,25,1,1,14,10.803008317947388,1.5432869025639124,0.739473282073862,"[1.0397439002990723, 1.9492080211639404, 1.0536699295043945, 2.1594350337982178, 1.661797046661377, 2.6454052925109863, 0.2937490940093994]"
16,35,5,1,10,5.1162567138671875,1.0232513427734375,0.17990375452848542,"[1.1416361331939697, 0.8134567737579346, 0.8213479518890381, 1.2699499130249023, 1.0698659420013428]"
17,15,4,1,6,2.832051992416382,0.9440173308054606,0.24360141329130025,"[0.8134410381317139, 1.2853939533233643, 0.7332170009613037]"
18,15,3,0,10,22.300734996795654,4.4601469993591305,3.703784477331079,"[5.749968767166138, 3.829641103744507, 10.869770050048828, 1.4056270122528076, 0.445728063583374]"
19,15,5,0,12,18.266077280044556,3.0443462133407593,1.513237401046926,"[4.893744230270386, 4.941776990890503, 2.98166823387146, 2.1416759490966797, 2.6615118980407715, 0.6456999778747559]"
20,15,1,0,16,21.65324831008911,2.706656038761139,3.0201688928435826,"[7.33315110206604, 6.949723243713379, 0.19779300689697266, 0.15795207023620605, 1.2216026782989502, 0.40568089485168457, 5.2697930335998535, 0.11755228042602539]"
21,25,5,1,10,3.995389699935913,0.7990779399871826,0.2975349353111338,"[0.741314172744751, 0.8215551376342773, 0.29352712631225586, 1.2054362297058105, 0.9335570335388184]"
22,200,1,1,0,0.0,0.0,0.0,[]
23,35,4,0,8,20.062661170959473,5.015665292739868,3.327031665172132,"[4.117815017700195, 3.8212430477142334, 10.52582311630249, 1.5977799892425537]"
24,5,4,0,6,3.3280389308929443,1.1093463102976482,0.2154985421857198,"[1.2455189228057861, 1.277379035949707, 0.8051409721374512]"
25,5,5,0,10,3.8758561611175537,0.7751712322235107,0.20414351103314238,"[0.6854851245880127, 1.0455400943756104, 0.8297030925750732, 0.8773288726806641, 0.43779897689819336]"
26,5,4,1,2,0.31758880615234375,0.31758880615234375,0.0,[0.31758880615234375]
27,25,3,1,18,12.978645086288452,1.4420716762542725,0.9841681956771412,"[2.7975330352783203, 1.2457528114318848, 2.5095431804656982, 0.7976162433624268, 3.0216150283813477, 0.36560511589050293, 0.8216707706451416, 1.005579948425293, 0.4137289524078369]"
28,60,3,1,4,1.794952154159546,0.897476077079773,0.04380500316619873,"[0.9412810802459717, 0.8536710739135742]"
29,25,2,1,8,2.6062843799591064,0.6515710949897766,0.2751184824196949,"[0.41356801986694336, 0.35778021812438965, 1.0133841037750244, 0.821552038192749]"
30,25,4,0,12,19.553985834121704,3.258997639020284,2.242702953257239,"[8.173821926116943, 1.757582187652588, 2.7017810344696045, 3.0057179927825928, 2.0138227939605713, 1.9012598991394043]"
31,5,2,1,0,0.0,0.0,0.0,[]
32,5,1,1,0,0.0,0.0,0.0,[]
33,35,1,0,10,18.468892812728882,3.693778562545776,2.051420940847166,"[2.8537888526916504, 3.093791961669922, 7.229879140853882, 4.269784927368164, 1.0216479301452637]"
34,25,4,1,16,15.566049098968506,1.9457561373710632,0.7603624159048753,"[1.301551103591919, 2.781874179840088, 3.26975417137146, 2.469836950302124, 1.9017229080200195, 0.9898099899291992, 1.541719913482666, 1.3097798824310303]"
35,60,1,0,14,12.679960489273071,1.81142292703901,1.0120447469528948,"[3.8617782592773438, 1.7260699272155762, 1.2614619731903076, 2.701756000518799, 1.2215080261230469, 1.1017632484436035, 0.8056230545043945]"
36,15,1,1,20,12.096927165985107,1.2096927165985107,0.6215330377696006,"[1.5414540767669678, 1.1415870189666748, 1.0858333110809326, 0.7977359294891357, 1.277827262878418, 1.077317237854004, 0.7977640628814697, 1.0697801113128662, 2.8698251247406006, 0.4378030300140381]"
37,35,3,0,12,17.706356048583984,2.951059341430664,1.422554268786567,"[5.077857971191406, 4.661845922470093, 1.7178559303283691, 1.7095181941986084, 2.8616771697998047, 1.6776008605957031]"
38,35,1,1,14,7.030740737915039,1.0043915339878626,0.07350598094507145,"[1.0457229614257812, 1.0296921730041504, 0.9496545791625977, 1.0851480960845947, 0.8857579231262207, 1.0933570861816406, 0.9414079189300537]"
39,25,2,0,12,17.210317134857178,2.868386189142863,1.073426467191543,"[3.693607807159424, 3.301528215408325, 1.805821180343628, 1.5257680416107178, 2.3337349891662598, 4.549856901168823]"
40,35,3,1,8,5.518354892730713,1.3795887231826782,0.3364120057148774,"[1.229604959487915, 1.4376230239868164, 1.8852381706237793, 0.9658887386322021]"
41,60,2,0,6,5.62427830696106,1.8747594356536865,0.2541766099135818,"[2.157771110534668, 1.9251830577850342, 1.5413241386413574]"
42,60,4,0,0,0.0,0.0,0.0,[]
43,60,1,1,2,1.2134299278259277,1.2134299278259277,0.0,[1.2134299278259277]
44,35,4,1,12,13.185855865478516,2.1976426442464194,0.6480759276416495,"[2.7178549766540527, 1.69337797164917, 2.1975739002227783, 3.0057578086853027, 2.4936630725860596, 1.0776281356811523]"
