trial,luminance,repetition,complementary,transient_counts,cdt,mdt,dtstd,key_press_list
1,5,5,0,6,1.9203691482543945,0.6401230494181315,0.29300532204471713,"[0.5890781879425049, 0.3095219135284424, 1.0217690467834473]"
2,5,3,1,0,0.0,0.0,0.0,[]
3,60,1,1,2,0.16516518592834473,0.16516518592834473,0.0,[0.16516518592834473]
4,5,1,0,10,2.6706509590148926,0.5341301918029785,0.38256360806224443,"[1.288071870803833, 0.26932811737060547, 0.30171799659729004, 0.4616971015930176, 0.3498358726501465]"
5,60,5,1,0,0.0,0.0,0.0,[]
6,200,1,1,0,0.0,0.0,0.0,[]
7,25,2,0,8,7.246593952178955,1.8116484880447388,0.5809717732066301,"[2.3016438484191895, 1.413618803024292, 1.0774211883544922, 2.4539101123809814]"
8,60,2,0,2,1.069394826889038,1.069394826889038,0.0,[1.069394826889038]
9,35,3,1,2,0.17334699630737305,0.17334699630737305,0.0,[0.17334699630737305]
10,60,2,1,0,0.0,0.0,0.0,[]
11,25,4,0,4,4.962965965270996,2.481482982635498,0.05191183090209961,"[2.4295711517333984, 2.5333948135375977]"
12,60,5,0,0,0.0,0.0,0.0,[]
13,60,4,1,2,0.1093292236328125,0.1093292236328125,0.0,[0.1093292236328125]
14,25,2,1,12,14.378313779830933,2.3963856299718223,2.4877483405095187,"[7.253732919692993, 0.44570279121398926, 2.589810848236084, 3.4377059936523438, 0.18973088264465332, 0.46163034439086914]"
15,60,3,1,6,1.1525075435638428,0.3841691811879476,0.1610488521251807,"[0.15761590003967285, 0.5177018642425537, 0.4771897792816162]"
16,25,5,1,8,7.767577409744263,1.9418943524360657,0.956710664758016,"[1.6056420803070068, 3.573735237121582, 1.1425480842590332, 1.4456520080566406]"
17,35,5,1,2,0.5095880031585693,0.5095880031585693,0.0,[0.5095880031585693]
18,15,5,0,12,18.810035705566406,3.1350059509277344,5.651596576202502,"[15.757637977600098, 0.3818509578704834, 0.4857211112976074, 0.6454668045043945, 1.1737258434295654, 0.3656330108642578]"
19,15,2,0,6,7.264384984970093,2.4214616616566977,1.9339286224809946,"[5.149235010147095, 1.2295031547546387, 0.8856468200683594]"
20,25,1,1,8,4.574223518371582,1.1435558795928955,0.48555479668706314,"[0.5256466865539551, 1.7894859313964844, 1.3975229263305664, 0.8615679740905762]"
21,25,3,0,12,16.842280864715576,2.807046810785929,1.1054984537755164,"[1.9337060451507568, 4.693743944168091, 2.4776368141174316, 3.7490570545196533, 2.58256196975708, 1.4055750370025635]"
22,5,2,0,4,0.47473621368408203,0.23736810684204102,0.04009890556335449,"[0.19726920127868652, 0.2774670124053955]"
23,200,1,0,0,0.0,0.0,0.0,[]
