trial,luminance,repetition,complementary,transient_counts,cdt,mdt,dtstd,key_press_list
1,5,5,0,4,1.8507661819458008,0.9253830909729004,0.6319839954376221,"[0.2933990955352783, 1.5573670864105225]"
2,25,1,0,6,7.24032998085022,2.4134433269500732,0.6325081426892971,"[3.2856149673461914, 2.149367094039917, 1.8053479194641113]"
3,60,1,1,0,0.0,0.0,0.0,[]
4,25,2,0,6,8.272869348526001,2.7576231161753335,0.5217132809569431,"[3.4537341594696045, 2.6213438510894775, 2.197791337966919]"
5,5,4,0,2,0.34145402908325195,0.34145402908325195,0.0,[0.34145402908325195]
6,15,5,0,12,16.59278416633606,2.7654640277226767,1.9788142690905786,"[6.709855079650879, 3.1255972385406494, 2.6772561073303223, 2.3327701091766357, 1.3497908115386963, 0.39751482009887695]"
7,15,1,1,4,4.163097143173218,2.081548571586609,0.5240134000778198,"[1.557535171508789, 2.6055619716644287]"
8,15,4,0,6,7.8178980350494385,2.605966011683146,1.5005369146862648,"[3.8376851081848145, 3.4866249561309814, 0.4935879707336426]"
9,35,2,1,0,0.0,0.0,0.0,[]
10,60,5,1,0,0.0,0.0,0.0,[]
11,35,4,1,0,0.0,0.0,0.0,[]
12,5,4,1,0,0.0,0.0,0.0,[]
13,200,1,0,0,0.0,0.0,0.0,[]
14,35,4,0,4,5.074495077133179,2.5372475385665894,0.5000866651535034,"[2.037160873413086, 3.0373342037200928]"
15,15,4,1,0,0.0,0.0,0.0,[]
16,35,1,1,0,0.0,0.0,0.0,[]
17,35,5,1,0,0.0,0.0,0.0,[]
18,15,1,0,6,19.097530841827393,6.365843613942464,2.7017985531510758,"[10.069915771484375, 5.325879096984863, 3.7017359733581543]"
19,60,3,0,2,0.14941883087158203,0.14941883087158203,0.0,[0.14941883087158203]
20,25,1,1,0,0.0,0.0,0.0,[]
21,60,2,0,2,3.9094200134277344,3.9094200134277344,0.0,[3.9094200134277344]
22,5,2,1,0,0.0,0.0,0.0,[]
23,25,4,1,2,2.4693520069122314,2.4693520069122314,0.0,[2.4693520069122314]
24,25,4,0,4,12.3313148021698,6.1656574010849,0.7599154710769653,"[5.405741930007935, 6.925572872161865]"
25,5,5,1,0,0.0,0.0,0.0,[]
26,60,1,0,0,0.0,0.0,0.0,[]
27,60,5,0,0,0.0,0.0,0.0,[]
28,35,3,1,0,0.0,0.0,0.0,[]
29,35,5,0,4,12.874943733215332,6.437471866607666,1.4081449508666992,"[7.845616817474365, 5.029326915740967]"
30,60,4,1,0,0.0,0.0,0.0,[]
31,5,1,1,0,0.0,0.0,0.0,[]
32,5,1,0,10,12.899929761886597,2.5799859523773194,1.0754280634900366,"[4.365593910217285, 1.109745979309082, 2.5652709007263184, 2.8697240352630615, 1.9895949363708496]"
33,15,5,1,0,0.0,0.0,0.0,[]
34,35,2,0,6,9.48821210861206,3.1627373695373535,1.4791789056035518,"[5.253612041473389, 2.1733150482177734, 2.0612850189208984]"
35,35,1,0,2,3.877709150314331,3.877709150314331,0.0,[3.877709150314331]
36,25,3,1,0,0.0,0.0,0.0,[]
37,35,3,0,6,13.280739307403564,4.4269131024678545,3.0589169051394167,"[8.709665060043335, 1.7573461532592773, 2.813728094100952]"
38,60,3,1,0,0.0,0.0,0.0,[]
39,25,3,0,6,12.032543659210205,4.010847886403401,1.8655190895744016,"[6.077560901641846, 1.5573627948760986, 4.397619962692261]"
40,15,2,1,0,0.0,0.0,0.0,[]
41,15,3,0,6,26.77784276008606,8.925947586695353,7.461284239109665,"[6.7417826652526855, 18.958287954330444, 1.0777721405029297]"
42,25,5,0,6,17.881090879440308,5.9603636264801025,3.4183329946206853,"[10.061758995056152, 1.6934940814971924, 6.125837802886963]"
43,15,3,1,0,0.0,0.0,0.0,[]
44,25,2,1,0,0.0,0.0,0.0,[]
45,200,1,1,0,0.0,0.0,0.0,[]
46,5,2,0,0,0.0,0.0,0.0,[]
47,5,3,1,0,0.0,0.0,0.0,[]
48,5,3,0,0,0.0,0.0,0.0,[]
49,60,4,0,0,0.0,0.0,0.0,[]
50,25,5,1,0,0.0,0.0,0.0,[]
51,60,2,1,0,0.0,0.0,0.0,[]
52,15,2,0,4,11.331120729446411,5.665560364723206,5.06827437877655,"[10.733834743499756, 0.5972859859466553]"
